Fold1 eğitimine 50 epoch ile başlanıyor
Epoch [1/50], Train Loss: 0.2631, Train Acc: 0.8887, Test Loss: 0.1323, Test Acc: 0.9520
Epoch [2/50], Train Loss: 0.0796, Train Acc: 0.9697, Test Loss: 0.1288, Test Acc: 0.9613
Epoch [3/50], Train Loss: 0.0428, Train Acc: 0.9852, Test Loss: 0.1019, Test Acc: 0.9700
Epoch [4/50], Train Loss: 0.0296, Train Acc: 0.9900, Test Loss: 0.0963, Test Acc: 0.9673
Epoch [5/50], Train Loss: 0.0246, Train Acc: 0.9915, Test Loss: 0.1601, Test Acc: 0.9613
Epoch [6/50], Train Loss: 0.0197, Train Acc: 0.9932, Test Loss: 0.1318, Test Acc: 0.9693
Epoch [7/50], Train Loss: 0.0129, Train Acc: 0.9951, Test Loss: 0.1329, Test Acc: 0.9753
Epoch [8/50], Train Loss: 0.0143, Train Acc: 0.9954, Test Loss: 0.1386, Test Acc: 0.9653
Epoch [9/50], Train Loss: 0.0089, Train Acc: 0.9970, Test Loss: 0.1901, Test Acc: 0.9700
Epoch [10/50], Train Loss: 0.0103, Train Acc: 0.9965, Test Loss: 0.1893, Test Acc: 0.9593
Epoch [11/50], Train Loss: 0.0108, Train Acc: 0.9966, Test Loss: 0.1455, Test Acc: 0.9720
Epoch [12/50], Train Loss: 0.0074, Train Acc: 0.9975, Test Loss: 0.1541, Test Acc: 0.9693
Epoch [13/50], Train Loss: 0.0094, Train Acc: 0.9969, Test Loss: 0.1510, Test Acc: 0.9680
Epoch [14/50], Train Loss: 0.0079, Train Acc: 0.9971, Test Loss: 0.1724, Test Acc: 0.9693
Epoch [15/50], Train Loss: 0.0095, Train Acc: 0.9973, Test Loss: 0.1288, Test Acc: 0.9740
Epoch [16/50], Train Loss: 0.0096, Train Acc: 0.9971, Test Loss: 0.0990, Test Acc: 0.9727
Epoch [17/50], Train Loss: 0.0051, Train Acc: 0.9983, Test Loss: 0.1829, Test Acc: 0.9620
Epoch [18/50], Train Loss: 0.0056, Train Acc: 0.9982, Test Loss: 0.1443, Test Acc: 0.9720
Epoch [19/50], Train Loss: 0.0026, Train Acc: 0.9991, Test Loss: 0.2227, Test Acc: 0.9667
Epoch [20/50], Train Loss: 0.0095, Train Acc: 0.9967, Test Loss: 0.1206, Test Acc: 0.9680
Epoch [21/50], Train Loss: 0.0040, Train Acc: 0.9986, Test Loss: 0.1780, Test Acc: 0.9647
Epoch [22/50], Train Loss: 0.0085, Train Acc: 0.9968, Test Loss: 0.1505, Test Acc: 0.9653
Epoch [23/50], Train Loss: 0.0054, Train Acc: 0.9983, Test Loss: 0.1107, Test Acc: 0.9700
Epoch [24/50], Train Loss: 0.0042, Train Acc: 0.9988, Test Loss: 0.1168, Test Acc: 0.9793
Epoch [25/50], Train Loss: 0.0038, Train Acc: 0.9985, Test Loss: 0.1592, Test Acc: 0.9740
Epoch [26/50], Train Loss: 0.0029, Train Acc: 0.9989, Test Loss: 0.1609, Test Acc: 0.9767
Epoch [27/50], Train Loss: 0.0064, Train Acc: 0.9979, Test Loss: 0.1754, Test Acc: 0.9733
Epoch [28/50], Train Loss: 0.0049, Train Acc: 0.9991, Test Loss: 0.1393, Test Acc: 0.9767
Epoch [29/50], Train Loss: 0.0038, Train Acc: 0.9990, Test Loss: 0.1361, Test Acc: 0.9767
Epoch [30/50], Train Loss: 0.0043, Train Acc: 0.9985, Test Loss: 0.1773, Test Acc: 0.9680
Epoch [31/50], Train Loss: 0.0026, Train Acc: 0.9993, Test Loss: 0.1720, Test Acc: 0.9727
Epoch [32/50], Train Loss: 0.0052, Train Acc: 0.9980, Test Loss: 0.1272, Test Acc: 0.9780
Epoch [33/50], Train Loss: 0.0041, Train Acc: 0.9984, Test Loss: 0.1675, Test Acc: 0.9727
Epoch [34/50], Train Loss: 0.0013, Train Acc: 0.9996, Test Loss: 0.1851, Test Acc: 0.9700
Epoch [35/50], Train Loss: 0.0044, Train Acc: 0.9985, Test Loss: 0.1682, Test Acc: 0.9660
Epoch [36/50], Train Loss: 0.0034, Train Acc: 0.9988, Test Loss: 0.1197, Test Acc: 0.9760
Epoch [37/50], Train Loss: 0.0017, Train Acc: 0.9995, Test Loss: 0.1429, Test Acc: 0.9807
Epoch [38/50], Train Loss: 0.0046, Train Acc: 0.9987, Test Loss: 0.1174, Test Acc: 0.9807
Epoch [39/50], Train Loss: 0.0031, Train Acc: 0.9989, Test Loss: 0.1648, Test Acc: 0.9793
Epoch [40/50], Train Loss: 0.0036, Train Acc: 0.9986, Test Loss: 0.1711, Test Acc: 0.9747
Epoch [41/50], Train Loss: 0.0045, Train Acc: 0.9985, Test Loss: 0.1611, Test Acc: 0.9793
Epoch [42/50], Train Loss: 0.0027, Train Acc: 0.9992, Test Loss: 0.1667, Test Acc: 0.9720
Epoch [43/50], Train Loss: 0.0028, Train Acc: 0.9992, Test Loss: 0.1405, Test Acc: 0.9740
Epoch [44/50], Train Loss: 0.0031, Train Acc: 0.9989, Test Loss: 0.1414, Test Acc: 0.9807
Epoch [45/50], Train Loss: 0.0035, Train Acc: 0.9987, Test Loss: 0.1904, Test Acc: 0.9673
Epoch [46/50], Train Loss: 0.0038, Train Acc: 0.9987, Test Loss: 0.1461, Test Acc: 0.9707
Epoch [47/50], Train Loss: 0.0014, Train Acc: 0.9995, Test Loss: 0.1446, Test Acc: 0.9773
Epoch [48/50], Train Loss: 0.0041, Train Acc: 0.9988, Test Loss: 0.1612, Test Acc: 0.9660
Epoch [49/50], Train Loss: 0.0054, Train Acc: 0.9982, Test Loss: 0.1241, Test Acc: 0.9707
Epoch [50/50], Train Loss: 0.0007, Train Acc: 0.9998, Test Loss: 0.1260, Test Acc: 0.9807
Fold1 değerlendirmesi yapılıyor
Accuracy: 0.9807
Precision: 0.9918
Recall: 0.9693
F1 Score: 0.9804



Fold2 eğitimine 50 epoch ile başlanıyor
Epoch [1/50], Train Loss: 0.2664, Train Acc: 0.8861, Test Loss: 0.3324, Test Acc: 0.8980
Epoch [2/50], Train Loss: 0.0725, Train Acc: 0.9729, Test Loss: 0.2441, Test Acc: 0.9380
Epoch [3/50], Train Loss: 0.0354, Train Acc: 0.9873, Test Loss: 0.1729, Test Acc: 0.9547
Epoch [4/50], Train Loss: 0.0267, Train Acc: 0.9911, Test Loss: 0.1876, Test Acc: 0.9560
Epoch [5/50], Train Loss: 0.0191, Train Acc: 0.9932, Test Loss: 0.2144, Test Acc: 0.9620
Epoch [6/50], Train Loss: 0.0167, Train Acc: 0.9947, Test Loss: 0.1795, Test Acc: 0.9633
Epoch [7/50], Train Loss: 0.0176, Train Acc: 0.9943, Test Loss: 0.2383, Test Acc: 0.9540
Epoch [8/50], Train Loss: 0.0116, Train Acc: 0.9957, Test Loss: 0.1727, Test Acc: 0.9660
